group,p1,p1 wins,p2 wins,p2
A,Quantuminhious,4,1,No hope
A,Quantuminhious,4,1,Jeffrey Dahmer's refrigerator
A,I AM INSIDE YOUR WALLS,1,4,Quantuminhious
A,No hope,1,4,Jeffrey Dahmer's refrigerator
A,I AM INSIDE YOUR WALLS,5,0,No hope
A,I AM INSIDE YOUR WALLS,5,0,Jeffrey Dahmer's refrigerator
B,aggin,1,4,NhungQuyOngAnhQuoc
B,aggin,0,5,hehe
B,aggin,5,0,Turning-the-TABLE!!!!
B,hehe,5,0,NhungQuyOngAnhQuoc
B,Turning-the-TABLE!!!!,0,5,NhungQuyOngAnhQuoc
B,hehe,5,0,Turning-the-TABLE!!!!
C,top 1 battlecode,3,2,sus
C,sus,0,5,redmiturbo3
C,Nữ Sinh Cao Trung,5,0,sus
C,redmiturbo3,5,0,top 1 battlecode
C,top 1 battlecode,0,5,Nữ Sinh Cao Trung
C,redmiturbo3,3,2,Nữ Sinh Cao Trung
D,TrumLotDuong,5,0,TozzzyyORZ
D,TozzzyyORZ,0,5,Mienthicongbang
D,TozzzyyORZ,0,5,Shift Happens
D,Mienthicongbang,5,0,TrumLotDuong
D,Shift Happens,5,0,TrumLotDuong
D,Shift Happens,5,0,Mienthicongbang
